FirstPulse_s,PulseInterval_ms,AudioName
17.710,28680,20140406_183314_4589586_7200000.raw2int16
11.527,28660,20140406_183544_4589586_7200000.raw2int16
5.066,27500,20140406_183814_4589586_7200000.raw2int16
